col,sky,wavelength
415,0.411,11819.653
416,0.392,11818.246
417,0.392,11816.838
418,0.428,11815.431
419,0.452,11814.024
420,0.463,11812.617
421,0.471,11811.21
422,0.425,11809.803
423,0.44,11808.395
424,0.459,11806.988
425,0.455,11805.581
426,0.421,11804.173
427,0.412,11802.766
428,0.452,11801.358
429,0.432,11799.951
430,0.421,11798.544
431,0.427,11797.136
432,0.41,11795.729
433,0.464,11794.321
434,0.488,11792.914
435,0.5,11791.506
436,0.622,11790.099
437,0.858,11788.691
438,0.826,11787.283
439,0.6,11785.875
440,0.485,11784.468
441,0.48,11783.06
442,0.503,11781.653
443,0.447,11780.245
444,0.431,11778.837
445,0.437,11777.43
446,0.423,11776.022
447,0.479,11774.614
448,0.563,11773.206
449,0.661,11771.798
450,0.714,11770.39
451,0.607,11768.983
452,0.517,11767.574
453,0.484,11766.166
454,0.474,11764.758
455,0.463,11763.351
456,0.486,11761.943
457,0.48,11760.535
458,0.5,11759.127
459,0.499,11757.719
460,0.494,11756.311
461,0.441,11754.902
462,0.463,11753.495
463,0.53,11752.086
464,0.512,11750.679
465,0.475,11749.271
466,0.453,11747.862
467,0.491,11746.454
468,0.473,11745.046
469,0.474,11743.638
470,0.462,11742.23
471,0.476,11740.821
472,0.48,11739.413
473,0.501,11738.004
474,0.494,11736.596
475,0.478,11735.188
476,0.494,11733.78
477,0.5,11732.371
478,0.491,11730.962
479,0.508,11729.555
480,0.506,11728.146
481,0.518,11726.738
482,0.532,11725.329
483,0.509,11723.921
484,0.501,11722.512
485,0.478,11721.103
486,0.492,11719.695
487,0.763,11718.287
488,1.38,11716.877
489,1.3,11715.469
490,0.764,11714.06
491,0.516,11712.652
492,0.481,11711.243
493,0.471,11709.834
494,0.49,11708.426
495,0.526,11707.017
496,0.477,11705.608
497,0.507,11704.2
498,0.522,11702.791
499,0.509,11701.382
500,0.493,11699.973
501,0.573,11698.564
502,0.924,11697.155
503,0.887,11695.747
504,0.538,11694.337
505,0.451,11692.929
506,0.477,11691.52
507,0.495,11690.11
508,0.486,11688.702
509,0.479,11687.292
510,0.514,11685.883
511,0.522,11684.474
512,0.543,11683.065
513,0.511,11681.656
514,0.518,11680.248
515,0.501,11678.838
516,0.472,11677.429
517,0.5,11676.02
518,0.521,11674.611
519,0.5,11673.202
520,0.478,11671.792
521,0.508,11670.383
522,0.493,11668.974
523,0.458,11667.565
524,0.539,11666.155
525,0.541,11664.746
526,0.472,11663.336
527,0.451,11661.927
528,0.469,11660.518
529,0.465,11659.109
530,0.461,11657.699
531,0.49,11656.29
532,0.493,11654.88
533,0.623,11653.47
534,1.42,11652.061
535,2.08,11650.651
536,1.22,11649.242
537,0.572,11647.833
538,0.493,11646.423
539,0.478,11645.014
540,0.509,11643.604
541,0.553,11642.194
542,0.473,11640.784
543,0.498,11639.375
544,0.493,11637.965
545,0.503,11636.556
546,0.524,11635.146
547,0.509,11633.736
548,0.504,11632.326
549,0.501,11630.916
550,0.785,11629.506
551,1.18,11628.096
552,0.971,11626.687
553,0.564,11625.277
554,0.493,11623.867
555,0.485,11622.457
556,0.481,11621.047
557,0.436,11619.637
558,0.463,11618.227
559,0.484,11616.817
560,0.474,11615.407
561,0.471,11613.997
562,0.476,11612.587
563,0.513,11611.177
564,0.527,11609.767
565,0.498,11608.357
566,0.471,11606.946
567,0.462,11605.537
568,0.437,11604.127
569,0.434,11602.716
570,0.471,11601.306
571,0.518,11599.896
572,0.488,11598.485
573,0.464,11597.075
574,0.478,11595.665
575,0.731,11594.254
576,1.96,11592.844
577,2.5,11591.434
578,1.28,11590.023
579,0.525,11588.613
580,0.504,11587.203
581,0.494,11585.792
582,0.483,11584.382
583,0.507,11582.971
584,0.507,11581.561
585,0.491,11580.151
586,0.478,11578.74
587,0.489,11577.329
588,0.488,11575.918
589,0.492,11574.508
590,0.496,11573.097
591,0.512,11571.687
592,0.492,11570.276
593,0.528,11568.865
594,0.506,11567.455
595,0.674,11566.044
596,0.7,11564.633
597,0.551,11563.223
598,0.525,11561.812
599,0.504,11560.401
600,0.448,11558.99
601,0.446,11557.579
602,0.461,11556.169
603,0.458,11554.758
604,0.468,11553.347
605,0.505,11551.936
606,0.467,11550.525
607,0.471,11549.114
608,0.506,11547.703
609,0.48,11546.292
610,0.447,11544.881
611,0.466,11543.47
612,0.524,11542.059
613,1.16,11540.648
614,2.29,11539.237
615,1.93,11537.826
616,0.72,11536.415
617,0.507,11535.003
618,0.492,11533.593
619,0.44,11532.181
620,0.487,11530.77
621,0.486,11529.358
622,0.42,11527.947
623,0.377,11526.536
624,0.449,11525.125
625,0.473,11523.713
626,0.463,11522.302
627,0.453,11520.891
628,0.46,11519.479
629,0.489,11518.068
630,0.504,11516.656
631,0.493,11515.246
632,0.463,11513.834
633,0.47,11512.423
634,0.493,11511.011
635,0.475,11509.6
636,0.478,11508.188
637,0.496,11506.776
638,0.537,11505.364
639,0.488,11503.953
640,0.454,11502.541
641,0.463,11501.13
642,0.437,11499.718
643,0.389,11498.306
644,0.401,11496.895
645,0.424,11495.483
646,0.469,11494.071
647,0.516,11492.659
648,0.588,11491.248
649,0.553,11489.836
650,0.49,11488.424
651,0.437,11487.012
652,0.492,11485.601
653,0.472,11484.189
654,0.539,11482.777
655,0.529,11481.365
656,0.564,11479.953
657,0.528,11478.541
658,0.446,11477.129
659,0.407,11475.717
660,0.433,11474.305
661,0.453,11472.893
662,0.467,11471.481
663,0.576,11470.069
664,0.671,11468.657
665,0.633,11467.245
666,0.466,11465.833
667,0.433,11464.421
668,0.491,11463.008
669,0.507,11461.596
670,0.493,11460.184
671,0.452,11458.772
672,0.475,11457.359
673,0.444,11455.947
674,0.491,11454.535
675,0.906,11453.122
676,1.3,11451.711
677,0.995,11450.298
678,0.517,11448.886
679,0.594,11447.473
680,0.557,11446.061
681,0.46,11444.648
682,0.517,11443.236
683,1.26,11441.824
684,2.65,11440.411
685,2.34,11438.999
686,0.937,11437.586
687,0.523,11436.174
688,0.563,11434.761
689,0.557,11433.348
690,0.533,11431.935
691,0.529,11430.523
692,0.528,11429.11
693,0.539,11427.698
694,0.549,11426.285
695,0.546,11424.872
696,0.52,11423.459
697,0.467,11422.047
698,0.459,11420.634
699,0.512,11419.221
700,0.512,11417.809
701,0.458,11416.396
702,0.438,11414.983
703,0.462,11413.57
704,0.493,11412.157
705,0.477,11410.744
706,0.42,11409.331
707,0.446,11407.918
708,0.495,11406.505
709,0.515,11405.092
710,0.521,11403.679
711,0.51,11402.266
712,0.46,11400.853
713,0.452,11399.44
714,0.465,11398.027
715,0.537,11396.614
716,0.55,11395.2
717,0.57,11393.787
718,0.556,11392.374
719,0.586,11390.961
720,0.65,11389.548
721,0.607,11388.135
722,0.522,11386.722
723,0.464,11385.308
724,0.523,11383.895
725,0.553,11382.481
726,0.536,11381.068
727,0.543,11379.655
728,0.52,11378.242
729,0.48,11376.828
730,0.463,11375.415
731,0.495,11374.002
732,0.518,11372.588
733,0.518,11371.174
734,0.518,11369.761
735,0.498,11368.347
736,0.515,11366.934
