lk,ukf_a0v,uks_a0v , fh,fl, fc
3190,1.073331,0.044478,1.073331,0,0
3195,1.071585,0.035725,1.071585,0,0
3200,1.02561,0,1.02561,0,0
3205,1.027123,0,1.027123,0,0
3210,1.028811,0,1.028811,0,0
3215,1.011811,0,1.011811,0,0
3220,0.989788,0,0.989788,0,0
3225,0.97996,0,0.97996,0,0
3230,0.98122,0,0.98122,0,0
3235,0.98717,0,0.98717,0,0
3240,0.988567,0,0.988567,0,0
3245,0.980252,0,0.980252,0,0
3250,0.976231,0,0.976231,0,0
3255,0.988487,0,0.988487,0,0
3260,1.001723,0,1.001723,0,0
3265,1.000031,0,1.000031,0,0
3270,0.992324,0,0.992324,0,0
3275,0.989331,0,0.989331,0,0
3280,0.984206,0,0.984206,0,0
3285,0.971932,0,0.971932,0,0
3290,0.972359,0,0.972359,0,0
3295,0.999411,0,0.999411,0,0
3300,1.018435,0,1.018435,0,0
3305,0.998059,0,0.998059,0,0
3310,0.968613,0,0.968613,0,0
3315,0.96423,0,0.96423,0,0
3320,0.972542,0,0.972542,0,0
3325,0.975001,0,0.975001,0,0
3330,0.974833,0,0.974833,0,0
3335,0.978138,0,0.978138,0,0
3340,0.980742,0,0.980742,0,0
3345,0.977971,0,0.977971,0,0
3350,0.97343,0,0.97343,0,0
3355,0.970812,0,0.970812,0,0
3360,0.965897,0,0.965897,0,0
3365,0.955103,0,0.955103,0,0
3370,0.945304,0,0.945304,0,0
3375,0.942864,0,0.942864,0,0
3380,0.941656,0,0.941656,0,0
3385,0.935501,0,0.935501,0,0
3390,0.930504,0,0.930504,0,0
3395,0.934256,0,0.934256,0,0
3400,0.947981,0,0.947981,0,0
3405,0.968577,0,0.968577,0,0
3410,0.981979,0,0.981979,0,0
3415,0.977178,0,0.977178,0,0
3420,0.966353,0,0.966353,0,0
3425,0.962162,0,0.962162,0,0
3430,0.955995,0,0.955995,0,0
3435,0.939342,0,0.939342,0,0
3440,0.925386,0,0.925386,0,0
3445,0.926828,0,0.926828,0,0
3450,0.932775,0,0.932775,0,0
3455,0.931227,0,0.931227,0,0
3460,0.929353,0,0.929353,0,0
3465,0.93483,0,0.93483,0,0
3470,0.938193,0,0.938193,0,0
3475,0.930411,0,0.930411,0,0
3480,0.921333,0,0.921333,0,0
3485,0.920843,0,0.920843,0,0
3490,0.920065,0,0.920065,0,0
3495,0.910705,0,0.910705,0,0
3500,0.905543,0,0.905543,0,0
3505,0.916023,0,0.916023,0,0
3510,0.922815,0.004769,0.922815,0,0
3515,0.919272,0.005165,0.919272,0,0
3520,0.916501,0.001337,0.916501,0,0
3525,0.917938,0.004038,0.917938,0,0
3530,0.925882,0.005642,0.925882,0,0
3535,0.934025,0.003725,0.934025,0,0
3540,0.934882,0.000887,0.934882,0,0
3545,0.928635,0.004754,0.928635,0,0
3550,0.922378,0.010099,0.922378,0,0
3555,0.919969,0.009739,0.919969,0,0
3560,0.917202,0.006697,0.917202,0,0
3565,0.90607,0.000535,0.90607,0,0
3570,0.894498,0.006151,0.894498,0,0
3575,0.893153,0.008282,0.893153,0,0
3580,0.892547,0.010365,0.892547,0,0
3585,0.887421,0.011673,0.887421,0,0
3590,0.889092,0.003351,0.889092,0,0
3595,0.895562,0.006928,0.895562,0,0
3600,0.897085,0.005081,0.897085,0,0
3605,0.896206,0.006046,0.896206,0,0
3610,0.883098,0,0.883098,0,0
3615,0.881046,0,0.881046,0,0
3620,0.885908,0,0.885908,0,0
3625,0.896548,0,0.896548,0,0
3630,0.899074,0,0.899074,0,0
3635,0.90141,0,0.90141,0,0
3640,0.903462,0,0.903462,0,0
3645,0.900716,0,0.900716,0,0
3650,0.907777,0,0.907777,0,0
3655,0.919733,0,0.919733,0,0
3660,0.921648,0,0.921648,0,0
3665,0.91967,0,0.91967,0,0
3670,0.917523,0,0.917523,0,0
3675,0.90844,0,0.90844,0,0
3680,0.897727,0,0.897727,0,0
3685,0.89579,0,0.89579,0,0
3690,0.904367,0,0.904367,0,0
